name,norad_id,epoch,inclination_deg,raan_deg,eccentricity,arg_perigee_deg,mean_anomaly_deg,mean_motion_rev_per_day,line1,line2
DMSP 5D-3 F16 (USA 172),28054,26050.54706409,99.0009,73.5363,0.0008122,117.7343,35.6553,14.14454569,1 28054U 03048A   26050.54706409  .00000103  00000+0  77228-4 0  9995,2 28054  99.0009  73.5363 0008122 117.7343  35.6553 14.14454569152855
METEOSAT-9 (MSG-2),28912,26050.11535635,9.0925,55.3113,0.0001968,211.0488,329.8674,1.00270983,1 28912U 05049B   26050.11535635  .00000132  00000+0  00000+0 0  9996,2 28912   9.0925  55.3113 0001968 211.0488 329.8674  1.00270983  5818
DMSP 5D-3 F17 (USA 191),29522,26050.57549296,98.741,59.5399,0.001072,37.2577,322.9339,14.1495503,1 29522U 06050A   26050.57549296  .00000122  00000+0  85488-4 0  9992,2 29522  98.7410  59.5399 0010720  37.2577 322.9339 14.14955030995783
FENGYUN 3A,32958,26050.40914915,98.6778,353.5188,0.0009777,105.2042,255.0216,14.1954019,1 32958U 08026A   26050.40914915  .00000081  00000+0  58822-4 0  9996,2 32958  98.6778 353.5188 0009777 105.2042 255.0216 14.19540190918699
GOES 14,35491,26050.57558109,1.3837,84.6289,0.0001855,288.9208,191.9605,1.00118138,1 35491U 09033A   26050.57558109  .00000140  00000+0  00000+0 0  9993,2 35491   1.3837  84.6289 0001855 288.9208 191.9605  1.00118138  5413
DMSP 5D-3 F18 (USA 210),35951,26050.53748300,98.8934,31.6314,0.0010233,221.841,138.1982,14.14823078,1 35951U 09057A   26050.53748300  .00000228  00000+0  14120-3 0  9999,2 35951  98.8934  31.6314 0010233 221.8410 138.1982 14.14823078842959
EWS-G2 (GOES 15),36411,26050.54640299,0.9765,85.4257,0.0001507,22.4167,300.2278,1.00355278,1 36411U 10008A   26050.54640299  .00000023  00000+0  00000+0 0  9999,2 36411   0.9765  85.4257 0001507  22.4167 300.2278  1.00355278 58455
COMS 1,36744,26050.55957638,4.5022,77.0728,9.66e-05,272.47,129.578,1.00270439,1 36744U 10032A   26050.55957638 -.00000338  00000+0  00000+0 0  9994,2 36744   4.5022  77.0728 0000966 272.4700 129.5780  1.00270439 49914
FENGYUN 3B,37214,26050.57609675,98.9799,96.0039,0.0022466,157.8163,5.1698,14.14813414,1 37214U 10059A   26050.57609675  .00000453  00000+0  25789-3 0  9995,2 37214  98.9799  96.0039 0022466 157.8163   5.1698 14.14813414790790
SUOMI NPP,37849,26050.62860909,98.7849,352.3772,0.0001006,352.4936,7.6224,14.19537923,1 37849U 11061A   26050.62860909  .00000074  00000+0  56147-4 0  9990,2 37849  98.7849 352.3772 0001006 352.4936   7.6224 14.19537923741766
METEOSAT-10 (MSG-3),38552,26050.36240263,4.3907,61.5158,0.0002267,288.3573,289.9851,1.00274697,1 38552U 12035B   26050.36240263  .00000001  00000+0  00000+0 0  9992,2 38552   4.3907  61.5158 0002267 288.3573 289.9851  1.00274697 49671
METOP-B,38771,26050.56573444,98.6683,104.3228,0.0001733,351.472,8.6428,14.21438264,1 38771U 12049A   26050.56573444  .00000099  00000+0  65400-4 0  9999,2 38771  98.6683 104.3228 0001733 351.4720   8.6428 14.21438264696558
INSAT-3D,39216,26050.55983638,1.6204,84.1143,0.0002122,227.2814,169.0966,1.0027514,1 39216U 13038B   26050.55983638 -.00000333  00000+0  00000+0 0  9994,2 39216   1.6204  84.1143 0002122 227.2814 169.0966  1.00275140 45905
FENGYUN 3C,39260,26050.58304277,98.4861,29.9358,0.0014828,6.5295,353.607,14.15722265,1 39260U 13052A   26050.58304277  .00000081  00000+0  62301-4 0  9994,2 39260  98.4861  29.9358 0014828   6.5295 353.6070 14.15722265641925
METEOR-M 2,40069,26050.59266155,98.4994,30.5727,0.0006431,28.0715,332.0808,14.2141971,1 40069U 14037A   26050.59266155 -.00000127  00000+0 -38868-4 0  9994,2 40069  98.4994  30.5727 0006431  28.0715 332.0808 14.21419710602614
HIMAWARI-8,40267,26050.59427126,0.0221,214.6049,5.8e-05,95.4723,194.0422,1.00269837,1 40267U 14060A   26050.59427126 -.00000270  00000+0  00000+0 0  9997,2 40267   0.0221 214.6049 0000580  95.4723 194.0422  1.00269837 41581
FENGYUN 2G,40367,26050.62515468,5.3392,74.2543,0.0001921,145.8419,253.9511,1.00280306,1 40367U 14090A   26050.62515468 -.00000295  00000+0  00000+0 0  9999,2 40367   5.3392  74.2543 0001921 145.8419 253.9511  1.00280306 40824
METEOSAT-11 (MSG-4),40732,26050.22614172,2.9049,71.7616,0.0001175,255.2238,273.1519,1.00272128,1 40732U 15034A   26050.22614172  .00000070  00000+0  00000+0 0  9992,2 40732   2.9049  71.7616 0001175 255.2238 273.1519  1.00272128  6031
ELEKTRO-L 2,41105,26050.60367212,6.3962,71.9801,0.0003222,235.0402,45.3696,1.00271737,1 41105U 15074A   26050.60367212 -.00000110  00000+0  00000+0 0  9999,2 41105   6.3962  71.9801 0003222 235.0402  45.3696  1.00271737 37326
INSAT-3DR,41752,26050.54891633,0.0869,92.2465,0.0013521,187.1163,141.7105,1.00271254,1 41752U 16054A   26050.54891633 -.00000071  00000+0  00000+0 0  9994,2 41752   0.0869  92.2465 0013521 187.1163 141.7105  1.00271254 34638
HIMAWARI-9,41836,26050.59427112,0.0136,169.5219,0.0001136,183.0283,151.6809,1.00271063,1 41836U 16064A   26050.59427112 -.00000269  00000+0  00000+0 0  9999,2 41836   0.0136 169.5219 0001136 183.0283 151.6809  1.00271063 34033
GOES 16,41866,26050.58476781,0.1553,92.6037,0.0002676,206.058,316.6782,1.00271678,1 41866U 16071A   26050.58476781 -.00000085  00000+0  00000+0 0  9991,2 41866   0.1553  92.6037 0002676 206.0580 316.6782  1.00271678 33922
FENGYUN 4A,41882,26050.55870971,2.0211,81.6179,0.0006194,130.4066,262.3535,1.00268951,1 41882U 16077A   26050.55870971 -.00000351  00000+0  00000+0 0  9997,2 41882   2.0211  81.6179 0006194 130.4066 262.3535  1.00268951 33759
CYGFM05,41884,26050.17090993,34.9592,318.9946,0.0005383,107.4643,252.6669,15.51194434,1 41884U 16078A   26050.17090993  .00020913  00000+0  34639-3 0  9990,2 41884  34.9592 318.9946 0005383 107.4643 252.6669 15.51194434510383
CYGFM04,41885,26050.06581582,34.9328,292.3871,0.0004644,144.803,215.3,15.54122323,1 41885U 16078B   26050.06581582  .00022917  00000+0  34128-3 0  9997,2 41885  34.9328 292.3871 0004644 144.8030 215.3000 15.54122323510563
CYGFM02,41886,26050.05574501,34.9414,289.7216,0.0005706,144.6163,215.494,15.56093318,1 41886U 16078C   26050.05574501  .00025077  00000+0  34703-3 0  9999,2 41886  34.9414 289.7216 0005706 144.6163 215.4940 15.56093318510701
CYGFM01,41887,26050.13885207,34.942,321.0937,0.0005242,94.8235,265.3086,15.51601306,1 41887U 16078D   26050.13885207  .00021143  00000+0  34511-3 0  9994,2 41887  34.9420 321.0937 0005242  94.8235 265.3086 15.51601306510320
CYGFM08,41888,26050.13649316,34.9445,303.2287,0.0006629,128.4945,231.6374,15.53041332,1 41888U 16078E   26050.13649316  .00022886  00000+0  35436-3 0  9996,2 41888  34.9445 303.2287 0006629 128.4945 231.6374 15.53041332510561
CYGFM07,41890,26050.04692742,34.9457,292.3876,0.0005228,152.8793,207.2204,15.53703348,1 41890U 16078G   26050.04692742  .00022520  00000+0  34054-3 0  9990,2 41890  34.9457 292.3876 0005228 152.8793 207.2204 15.53703348510579
