order,index,norad_id,name
0,63,58702,TIANMU-1 17
1,4,35951,DMSP 5D-3 F18 (USA 210)
2,0,28912,METEOSAT-9 (MSG-2)
3,65,58990,INSAT-3DS
4,18,41752,INSAT-3DR
5,21,41882,FENGYUN 4A
6,19,41836,HIMAWARI-9
7,55,58647,TIANMU-1 13
8,12,39260,FENGYUN 3C
9,64,58703,TIANMU-1 18
10,22,41884,CYGFM05
11,8,37849,SUOMI NPP
12,28,41891,CYGFM03
13,15,40367,FENGYUN 2G
14,11,39216,INSAT-3D
15,34,43823,GEO-KOMPSAT-2A
16,14,40267,HIMAWARI-8
17,6,36744,COMS 1
18,38,51850,GOES 18
19,3,35491,GOES 14
20,57,58660,TIANMU-1 19
21,54,58646,TIANMU-1 12
22,48,57400,TIANMU-1 08
23,27,41890,CYGFM07
24,62,58701,TIANMU-1 16
25,56,58648,TIANMU-1 14
26,50,57402,TIANMU-1 10
27,29,43010,FENGYUN 3D
28,24,41886,CYGFM02
29,26,41888,CYGFM08
30,45,56232,FENGYUN 3G
31,66,59051,METEOR-M2 4
32,58,58661,TIANMU-1 20
33,1,29522,DMSP 5D-3 F17 (USA 191)
34,41,55973,TIANMU-1 03
35,36,47719,ARKTIKA-M 1
36,44,55976,TIANMU-1 06
37,13,40069,METEOR-M 2
38,42,55974,TIANMU-1 04
39,23,41885,CYGFM04
40,31,43226,GOES 17
41,67,60133,GOES 19
42,40,54743,METEOSAT-12 (MTG-I1)
43,17,41105,ELEKTRO-L 2
44,9,38552,METEOSAT-10 (MSG-3)
45,16,40732,METEOSAT-11 (MSG-4)
46,2,32958,FENGYUN 3A
47,49,57401,TIANMU-1 09
48,20,41866,GOES 16
49,53,58645,TIANMU-1 11
50,52,58584,ARKTIKA-M 2
51,47,57399,TIANMU-1 07
52,25,41887,CYGFM01
53,7,37214,FENGYUN 3B
54,10,38771,METOP-B
55,5,36411,EWS-G2 (GOES 15)
56,32,43491,FENGYUN 2H
57,46,57166,METEOR-M2 3
58,33,43689,METOP-C
59,37,49008,FENGYUN 3E
60,35,44387,METEOR-M2 2
61,59,58662,TIANMU-1 21
62,60,58663,TIANMU-1 22
63,43,55975,TIANMU-1 05
64,30,43013,NOAA 20 (JPSS-1)
65,68,65815,FENGYUN 3H
66,61,58700,TIANMU-1 15
67,51,57490,FENGYUN 3F
68,39,54234,NOAA 21 (JPSS-2)
