order,index,norad_id,name
0,37,49008,FENGYUN 3E
1,61,58700,TIANMU-1 15
2,27,41890,CYGFM07
3,52,58584,ARKTIKA-M 2
4,49,57401,TIANMU-1 09
5,63,58702,TIANMU-1 17
6,30,43013,NOAA 20 (JPSS-1)
7,54,58646,TIANMU-1 12
8,64,58703,TIANMU-1 18
9,55,58647,TIANMU-1 13
10,33,43689,METOP-C
11,35,44387,METEOR-M2 2
12,12,39260,FENGYUN 3C
13,51,57490,FENGYUN 3F
14,66,59051,METEOR-M2 4
15,58,58661,TIANMU-1 20
16,13,40069,METEOR-M 2
17,47,57399,TIANMU-1 07
18,36,47719,ARKTIKA-M 1
19,8,37849,SUOMI NPP
20,60,58663,TIANMU-1 22
21,2,32958,FENGYUN 3A
22,22,41884,CYGFM05
23,41,55973,TIANMU-1 03
24,62,58701,TIANMU-1 16
25,68,65815,FENGYUN 3H
26,3,35491,GOES 14
27,38,51850,GOES 18
28,20,41866,GOES 16
29,31,43226,GOES 17
30,67,60133,GOES 19
31,17,41105,ELEKTRO-L 2
32,9,38552,METEOSAT-10 (MSG-3)
33,40,54743,METEOSAT-12 (MTG-I1)
34,16,40732,METEOSAT-11 (MSG-4)
35,0,28912,METEOSAT-9 (MSG-2)
36,5,36411,EWS-G2 (GOES 15)
37,18,41752,INSAT-3DR
38,32,43491,FENGYUN 2H
39,65,58990,INSAT-3DS
40,15,40367,FENGYUN 2G
41,21,41882,FENGYUN 4A
42,6,36744,COMS 1
43,34,43823,GEO-KOMPSAT-2A
44,14,40267,HIMAWARI-8
45,11,39216,INSAT-3D
46,19,41836,HIMAWARI-9
47,10,38771,METOP-B
48,48,57400,TIANMU-1 08
49,42,55974,TIANMU-1 04
50,56,58648,TIANMU-1 14
51,46,57166,METEOR-M2 3
52,45,56232,FENGYUN 3G
53,1,29522,DMSP 5D-3 F17 (USA 191)
54,43,55975,TIANMU-1 05
55,59,58662,TIANMU-1 21
56,23,41885,CYGFM04
57,57,58660,TIANMU-1 19
58,24,41886,CYGFM02
59,29,43010,FENGYUN 3D
60,44,55976,TIANMU-1 06
61,39,54234,NOAA 21 (JPSS-2)
62,4,35951,DMSP 5D-3 F18 (USA 210)
63,25,41887,CYGFM01
64,26,41888,CYGFM08
65,53,58645,TIANMU-1 11
66,7,37214,FENGYUN 3B
67,50,57402,TIANMU-1 10
68,28,41891,CYGFM03
